micro_bucket_id,task_id,current_cluster_id,initial_cluster_id,signature_step,level,slope,volatility,window_obs_count,candidate_target_cluster,candidate_streak,candidate_margin,migration_events
math::c0::b0,math,0,0,100,0.2800256668336012,-7.898634568737635e-05,0.310109268351733,352,,0,0.0,0
math::c0::b1,math,0,0,100,0.3609787114830904,0.0021674376244299356,0.32541865242972084,344,,0,0.0,0
math::c0::b2,math,0,0,100,0.358147585898945,0.0004059629002494502,0.3018397979557624,388,,0,0.0,0
math::c0::b3,math,0,0,100,0.4679323385458395,0.002350801024071184,0.3210392510444002,332,,0,0.0,0
math::c0::b4,math,0,0,100,0.28327449470419774,0.0019288472287886963,0.2765333873123378,352,1,1,0.7097867188812631,0
math::c0::b5,math,0,0,100,0.35339367914767494,-0.0005174898131185706,0.3012486003381938,420,,0,0.0,0
math::c0::b6,math,0,0,100,0.44459409960968926,0.0023502647344781327,0.2874085862757919,352,,0,0.0,0
math::c0::b7,math,0,0,100,0.3201979531669149,-0.002186126704961086,0.2930967896091918,408,,0,0.0,0
math::c1::b0,math,1,1,100,0.1570747122168541,0.0028902405570150557,0.2819050912402878,216,,0,0.0,0
math::c1::b1,math,1,1,100,0.24143071092513144,0.002598354697392097,0.32412733320144266,196,,0,0.0,0
math::c1::b2,math,1,1,100,0.1741893008913634,0.0014179235281883474,0.2883403404167552,212,,0,0.0,0
math::c1::b3,math,1,1,100,0.24658459262414412,0.0032739678487435407,0.313464083766768,220,,0,0.0,0
math::c1::b4,math,1,1,100,0.1853337414336927,0.001483877040438036,0.2785812762322364,264,,0,0.0,0
math::c1::b5,math,1,1,100,0.3083957732945192,-0.0004658438797599284,0.3337894511967707,244,0,1,2.597372004896136,0
math::c1::b6,math,1,1,100,0.14369831290447488,0.003124715712774114,0.23992279204512754,212,,0,0.0,0
math::c1::b7,math,1,1,100,0.24728659580328635,0.000961887983269269,0.31951362878243666,224,,0,0.0,0
math::c4::b0,math,4,4,100,0.1178060324034757,0.0004174077358246723,0.23886485154063605,288,,0,0.0,0
math::c4::b1,math,4,4,100,0.11220063277416759,-0.00010813742044705368,0.1965117841288681,360,,0,0.0,0
math::c4::b2,math,4,4,100,0.1446407366792361,0.0012957071620451404,0.23502214604941693,300,,0,0.0,0
math::c4::b3,math,4,4,100,0.038265229792011024,0.0013092386859955138,0.11727075633602035,392,,0,0.0,0
zebra::c2::b0,zebra,2,2,100,0.28035389737171285,-0.0031895459101703013,0.30295284556012175,340,,0,0.0,0
zebra::c2::b1,zebra,2,2,100,0.27870720269327814,-0.0019296285851598757,0.2979185780771087,352,,0,0.0,0
zebra::c2::b2,zebra,2,2,100,0.3296182480168669,-0.0044239597405547355,0.30843908323839475,292,3,1,0.47270676194682837,0
zebra::c2::b3,zebra,2,2,100,0.2789066538569473,-0.0037983279949971535,0.2799208619613316,336,3,1,0.36814501813847805,0
zebra::c2::b4,zebra,2,2,100,0.3072754532679335,-0.0035206135534740436,0.3322759107878516,308,,0,0.0,0
zebra::c2::b5,zebra,2,2,100,0.3035645595152084,-0.001662954763684822,0.3019034687879503,292,,0,0.0,0
zebra::c2::b6,zebra,2,2,100,0.23568844579788575,-0.001971703989335341,0.2763958625331924,332,,0,0.0,0
zebra::c2::b7,zebra,2,2,100,0.32047448465052775,-0.0019057261491845232,0.32195038124907754,340,,0,0.0,0
zebra::c2::b8,zebra,2,2,100,0.19506615466332133,-0.0007406867737512512,0.3110127869818984,316,,0,0.0,0
zebra::c2::b9,zebra,2,2,100,0.2999119982123375,-0.005513659011173178,0.28345566001538974,264,3,1,1.8584790882276119,0
zebra::c3::b0,zebra,3,3,100,0.32576690476975945,-0.0034848902348576555,0.31979112870414095,304,2,1,0.4211791329291472,0
zebra::c3::b1,zebra,3,3,100,0.2600810746480892,-0.005225723326948133,0.2810300039042892,308,,0,0.0,0
zebra::c3::b2,zebra,3,3,100,0.25828703714623336,-0.00508499921157336,0.28024477224581357,336,,0,0.0,0
zebra::c3::b3,zebra,3,3,100,0.36945108624025325,-0.0018229129727226005,0.31365797022812686,348,2,1,2.5181685668855804,0
zebra::c3::b4,zebra,3,3,100,0.24716831718881924,-0.005200571205734809,0.2512376057127916,240,,0,0.0,0
zebra::c3::b5,zebra,3,3,100,0.25100110806524756,-0.001780648169244152,0.2988106555316732,320,2,1,1.3522702158311022,0
zebra::c3::b6,zebra,3,3,100,0.2615217194904255,-0.005767388963628733,0.2893182833970275,316,,0,0.0,0
zebra::c3::b7,zebra,3,3,100,0.18165522951770713,-0.0030281731465018552,0.2797841150924339,324,,0,0.0,0
zebra::c3::b8,zebra,3,3,100,0.33972689528018235,-0.004543308428273812,0.30338169541590004,320,,0,0.0,0
zebra::c3::b9,zebra,3,3,100,0.2206769738648389,-0.0036206042920513665,0.3038197003787944,296,,0,0.0,0
